,shortcode,post_type,username,like,comment,object_1,object_2,object_3,object_4,object_5,object_6,id,category_name,follower,following,ar_effect,type_business,type_professional,verified,reel_count,reel_avg_view,reel_avg_comment,reel_avg_like,reel_avg_duration,reel_frequency,media_count,media_avg_comment,media_avg_like,media_frequency
15,CqylP2gNluK,GraphSidecar,leomessi,10072927,74156,2 people,people playing football,people playing soccer,stadium,text,No Object,427553890,Athlete,457406606,292,False,True,True,True,163,10901379.58,12207.16667,1867137.833,59.27466667,20.5237586,1026,48772.83333,8066776.833,2.714165838
16,CqWzeG3Nr4l,GraphSidecar,leomessi,13211614,80603,8 people,people playing football,people playing soccer,stadium,No Object,No Object,427553890,Athlete,457406606,292,False,True,True,True,163,10901379.58,12207.16667,1867137.833,59.27466667,20.5237586,1026,48772.83333,8066776.833,2.714165838
17,CqT54JdrbzD,GraphSidecar,leomessi,14769905,77375,2 people,people playing football,people playing soccer,No Object,No Object,No Object,427553890,Athlete,457406606,292,False,True,True,True,163,10901379.58,12207.16667,1867137.833,59.27466667,20.5237586,1026,48772.83333,8066776.833,2.714165838
18,CqOECn_LXQ8,GraphSidecar,leomessi,10748681,58752,1 person,playing football,playing soccer,text,No Object,No Object,427553890,Athlete,457406606,292,False,True,True,True,163,10901379.58,12207.16667,1867137.833,59.27466667,20.5237586,1026,48772.83333,8066776.833,2.714165838
19,CrRGHjjLvYl,GraphImage,selenagomez,6745009,24048,2 people,dinner jacket,No Object,No Object,No Object,No Object,460563723,Musician/band,412696308,251,True,False,True,True,261,10374819.42,12646.25,1590331.667,68.10241667,20.82594717,1890,112153.1667,14481840.17,4.458361854
20,CrCpfpVt3Zq,GraphImage,selenagomez,13821466,110465,1 person,lipstick,makeup,No Object,No Object,No Object,460563723,Musician/band,412696308,251,True,False,True,True,261,10374819.42,12646.25,1590331.667,68.10241667,20.82594717,1890,112153.1667,14481840.17,4.458361854
21,CqjAyPyOC_r,GraphSidecar,selenagomez,12207886,42567,2 people,crowd,concert,No Object,No Object,No Object,460563723,Musician/band,412696308,251,True,False,True,True,261,10374819.42,12646.25,1590331.667,68.10241667,20.82594717,1890,112153.1667,14481840.17,4.458361854
22,Cqafk-jj5HV,GraphImage,selenagomez,9144218,63075,1 person,hair,eyeliner,makeup,lipstick,No Object,460563723,Musician/band,412696308,251,True,False,True,True,261,10374819.42,12646.25,1590331.667,68.10241667,20.82594717,1890,112153.1667,14481840.17,4.458361854
23,CqSxXsdu4I7,GraphSidecar,selenagomez,10935060,45979,1 person,makeup,lipstick,eyeliner,text,No Object,460563723,Musician/band,412696308,251,True,False,True,True,261,10374819.42,12646.25,1590331.667,68.10241667,20.82594717,1890,112153.1667,14481840.17,4.458361854
24,CqQfTxiOMMF,GraphImage,selenagomez,22440330,186031,4 people,makeup,bra,No Object,No Object,No Object,460563723,Musician/band,412696308,251,True,False,True,True,261,10374819.42,12646.25,1590331.667,68.10241667,20.82594717,1890,112153.1667,14481840.17,4.458361854
25,CqENlgtuTNe,GraphSidecar,selenagomez,15162262,92021,3 people,gown,dress,wedding,No Object,No Object,460563723,Musician/band,412696308,251,True,False,True,True,261,10374819.42,12646.25,1590331.667,68.10241667,20.82594717,1890,112153.1667,14481840.17,4.458361854
26,Cp-XrldOSS0,GraphSidecar,selenagomez,17997865,186279,3 people,crowd,concert,text,No Object,No Object,460563723,Musician/band,412696308,251,True,False,True,True,261,10374819.42,12646.25,1590331.667,68.10241667,20.82594717,1890,112153.1667,14481840.17,4.458361854
27,Cpv2SBMrAGY,GraphSidecar,selenagomez,25836402,355831,1 person,hair,No Object,No Object,No Object,No Object,460563723,Musician/band,412696308,251,True,False,True,True,261,10374819.42,12646.25,1590331.667,68.10241667,20.82594717,1890,112153.1667,14481840.17,4.458361854
28,CpiqBfkONWp,GraphImage,selenagomez,17958638,127818,1 person,child,bangs,smiling,No Object,No Object,460563723,Musician/band,412696308,251,True,False,True,True,261,10374819.42,12646.25,1590331.667,68.10241667,20.82594717,1890,112153.1667,14481840.17,4.458361854
29,CpS0P4XuDm4,GraphSidecar,selenagomez,13808940,88665,3 people,people fishing,northern pike,No Object,No Object,No Object,460563723,Musician/band,412696308,251,True,False,True,True,261,10374819.42,12646.25,1590331.667,68.10241667,20.82594717,1890,112153.1667,14481840.17,4.458361854
30,CrZF-9AydyP,GraphSidecar,kyliejenner,2181014,6637,1 person,hair,makeup,No Object,No Object,No Object,12281817,Public figure,388009361,97,False,False,True,True,412,28439483.67,41880.58333,4658362.583,30.5375,36.6334523,6806,7775.0,3416259.583,1.16165319
31,CrULOLuPfAU,GraphSidecar,kyliejenner,4964595,15410,1 person,blonde hair,makeup,chewing bubblegum,eyewear,fishnet stockings,12281817,Public figure,388009361,97,False,False,True,True,412,28439483.67,41880.58333,4658362.583,30.5375,36.6334523,6806,7775.0,3416259.583,1.16165319
32,CrQ-4wSpbhC,GraphImage,kyliejenner,1947042,7210,1 person,makeup,magazine,No Object,No Object,No Object,12281817,Public figure,388009361,97,False,False,True,True,412,28439483.67,41880.58333,4658362.583,30.5375,36.6334523,6806,7775.0,3416259.583,1.16165319
33,CrL0uq1J1XN,GraphSidecar,kyliejenner,3075529,7290,1 person,makeup,girdle,No Object,No Object,No Object,12281817,Public figure,388009361,97,False,False,True,True,412,28439483.67,41880.58333,4658362.583,30.5375,36.6334523,6806,7775.0,3416259.583,1.16165319
34,CrL0VKMJy-L,GraphImage,kyliejenner,3323024,6375,1 person,dress,No Object,No Object,No Object,No Object,12281817,Public figure,388009361,97,False,False,True,True,412,28439483.67,41880.58333,4658362.583,30.5375,36.6334523,6806,7775.0,3416259.583,1.16165319
35,CrKdwGFuOKh,GraphImage,kyliejenner,1275360,3444,1 person,leather,magazine,turtleneck,miniskirt,text,12281817,Public figure,388009361,97,False,False,True,True,412,28439483.67,41880.58333,4658362.583,30.5375,36.6334523,6806,7775.0,3416259.583,1.16165319
36,CrFPeFlriwz,GraphSidecar,kyliejenner,7139279,15467,1 person,coat,jacket,top,No Object,No Object,12281817,Public figure,388009361,97,False,False,True,True,412,28439483.67,41880.58333,4658362.583,30.5375,36.6334523,6806,7775.0,3416259.583,1.16165319
37,CrBkzMiLhEo,GraphSidecar,kyliejenner,478000,3610,one or more people,makeup,brush,text,No Object,No Object,12281817,Public figure,388009361,97,False,False,True,True,412,28439483.67,41880.58333,4658362.583,30.5375,36.6334523,6806,7775.0,3416259.583,1.16165319
38,Cq56eczJjKo,GraphSidecar,kyliejenner,6645275,10738,3 people,people dancing,No Object,No Object,No Object,No Object,12281817,Public figure,388009361,97,False,False,True,True,412,28439483.67,41880.58333,4658362.583,30.5375,36.6334523,6806,7775.0,3416259.583,1.16165319
39,Cq4MNCJJSyx,GraphImage,kyliejenner,4229054,5767,11 people,baby,polaroid,No Object,No Object,No Object,12281817,Public figure,388009361,97,False,False,True,True,412,28439483.67,41880.58333,4658362.583,30.5375,36.6334523,6806,7775.0,3416259.583,1.16165319
40,CraIJeaO7bw,GraphImage,therock,360352,2043,5 people,dinner jacket,No Object,No Object,No Object,No Object,232192182,Public figure,376319815,666,False,False,True,True,2805,6486813.0,8308.166667,842701.1667,139.444,13.0806336,7238,3519.666667,535801.25,0.813759671
41,CrMOQoQPVMV,GraphSidecar,therock,444102,2452,1 person,playing football,football helmet,magazine,stadium,text,232192182,Public figure,376319815,666,False,False,True,True,2805,6486813.0,8308.166667,842701.1667,139.444,13.0806336,7238,3519.666667,535801.25,0.813759671
42,CrGmE3ustlr,GraphImage,arianagrande,2882774,119,No Object,No Object,No Object,No Object,No Object,No Object,7719696,Musician,367957136,600,False,False,True,True,1309,9168522.417,40.5,2158336.833,49.31075,18.35243485,4987,2373.583333,3578339.667,13.36004439
43,CqP2ljXsMXv,GraphSidecar,arianagrande,3823139,51,2 people,makeup,headscarf,dress,No Object,No Object,7719696,Musician,367957136,600,False,False,True,True,1309,9168522.417,40.5,2158336.833,49.31075,18.35243485,4987,2373.583333,3578339.667,13.36004439
44,Cpxgw3pM3gV,GraphImage,arianagrande,2859903,114,poster,costume,text,No Object,No Object,No Object,7719696,Musician,367957136,600,False,False,True,True,1309,9168522.417,40.5,2158336.833,49.31075,18.35243485,4987,2373.583333,3578339.667,13.36004439
45,CpCKVrjo-J9,GraphSidecar,arianagrande,6112478,40,one or more people,makeup,No Object,No Object,No Object,No Object,7719696,Musician,367957136,600,False,False,True,True,1309,9168522.417,40.5,2158336.833,49.31075,18.35243485,4987,2373.583333,3578339.667,13.36004439
46,CmBR9PXM6Xj,GraphImage,arianagrande,2560802,11,No Object,No Object,No Object,No Object,No Object,No Object,7719696,Musician,367957136,600,False,False,True,True,1309,9168522.417,40.5,2158336.833,49.31075,18.35243485,4987,2373.583333,3578339.667,13.36004439
47,Cli-df7M6JQ,GraphSidecar,arianagrande,6309586,60,No Object,No Object,No Object,No Object,No Object,No Object,7719696,Musician,367957136,600,False,False,True,True,1309,9168522.417,40.5,2158336.833,49.31075,18.35243485,4987,2373.583333,3578339.667,13.36004439
48,ClMLu4usx2Y,GraphSidecar,arianagrande,7059464,63,No Object,No Object,No Object,No Object,No Object,No Object,7719696,Musician,367957136,600,False,False,True,True,1309,9168522.417,40.5,2158336.833,49.31075,18.35243485,4987,2373.583333,3578339.667,13.36004439
49,CrbMB6XLHQn,GraphSidecar,kimkardashian,1626658,5567,1 person,girdle,No Object,No Object,No Object,No Object,18428658,Public figure,353289707,241,False,False,True,True,165,9221392.917,12236.25,948303.75,283.7913333,47.93334491,5829,6657.666667,1582129.833,1.001908894
50,CrZRaT4ScPc,GraphSidecar,kimkardashian,1819539,8865,1 person,eyeliner,makeup,No Object,No Object,No Object,18428658,Public figure,353289707,241,False,False,True,True,165,9221392.917,12236.25,948303.75,283.7913333,47.93334491,5829,6657.666667,1582129.833,1.001908894
51,CrWZCm9v6JD,GraphImage,kimkardashian,745803,3145,skyscraper,twilight,buildings,tower,window,No Object,18428658,Public figure,353289707,241,False,False,True,True,165,9221392.917,12236.25,948303.75,283.7913333,47.93334491,5829,6657.666667,1582129.833,1.001908894
52,CrPbcLKuBu6,GraphSidecar,kimkardashian,1344757,7706,1 person,jumpsuit,No Object,No Object,No Object,No Object,18428658,Public figure,353289707,241,False,False,True,True,165,9221392.917,12236.25,948303.75,283.7913333,47.93334491,5829,6657.666667,1582129.833,1.001908894
53,CrMxRuFOM2J,GraphSidecar,kimkardashian,1876724,4748,5 people,people smiling,portable cassette player,No Object,No Object,No Object,18428658,Public figure,353289707,241,False,False,True,True,165,9221392.917,12236.25,948303.75,283.7913333,47.93334491,5829,6657.666667,1582129.833,1.001908894
54,CrJT4B8pT5a,GraphSidecar,kimkardashian,1624076,6523,1 person,chopsticks,No Object,No Object,No Object,No Object,18428658,Public figure,353289707,241,False,False,True,True,165,9221392.917,12236.25,948303.75,283.7913333,47.93334491,5829,6657.666667,1582129.833,1.001908894
55,CrHHnh8vfGv,GraphSidecar,kimkardashian,2086699,6200,1 person,child,beret,No Object,No Object,No Object,18428658,Public figure,353289707,241,False,False,True,True,165,9221392.917,12236.25,948303.75,283.7913333,47.93334491,5829,6657.666667,1582129.833,1.001908894
56,CrBcbYGr2mg,GraphSidecar,kimkardashian,2066002,5141,5 people,text,No Object,No Object,No Object,No Object,18428658,Public figure,353289707,241,False,False,True,True,165,9221392.917,12236.25,948303.75,283.7913333,47.93334491,5829,6657.666667,1582129.833,1.001908894
57,Cq-z0nQOLvq,GraphImage,kimkardashian,629839,2600,2 people,fingernails,fur,No Object,No Object,No Object,18428658,Public figure,353289707,241,False,False,True,True,165,9221392.917,12236.25,948303.75,283.7913333,47.93334491,5829,6657.666667,1582129.833,1.001908894
58,CqLUeUppDYs,GraphSidecar,beyonce,3181260,25146,2 people,makeup,people kissing,suit,overcoat,dinner jacket,247944034,Musician,306232794,0,False,True,True,True,243,6478501.25,17729.25,1179855.833,93.919,52.16688467,2063,57587.41667,4018829.833,12.78044626
59,CqLUQ_upwT0,GraphImage,beyonce,1539528,18380,1 person,magazine,text,No Object,No Object,No Object,247944034,Musician,306232794,0,False,True,True,True,243,6478501.25,17729.25,1179855.833,93.919,52.16688467,2063,57587.41667,4018829.833,12.78044626
60,Cp3vzkhp1Ug,GraphSidecar,beyonce,4516026,52980,1 person,makeup,dress,No Object,No Object,No Object,247944034,Musician,306232794,0,False,True,True,True,243,6478501.25,17729.25,1179855.833,93.919,52.16688467,2063,57587.41667,4018829.833,12.78044626
61,CoZJBmpuIlD,GraphSidecar,beyonce,3587107,27442,miniskirt,drawstring,top,No Object,No Object,No Object,247944034,Musician,306232794,0,False,True,True,True,243,6478501.25,17729.25,1179855.833,93.919,52.16688467,2063,57587.41667,4018829.833,12.78044626
62,CoTojVarwg_,GraphSidecar,beyonce,2860184,31590,one or more people,makeup,No Object,No Object,No Object,No Object,247944034,Musician,306232794,0,False,True,True,True,243,6478501.25,17729.25,1179855.833,93.919,52.16688467,2063,57587.41667,4018829.833,12.78044626
63,CoRHCpauzUG,GraphImage,beyonce,2144552,22594,one or more people,makeup,dress,miniskirt,No Object,No Object,247944034,Musician,306232794,0,False,True,True,True,243,6478501.25,17729.25,1179855.833,93.919,52.16688467,2063,57587.41667,4018829.833,12.78044626
64,CoHxOQhrTHX,GraphImage,beyonce,8670877,225768,costume,tinfoil,fishnet stockings,headdress,No Object,No Object,247944034,Musician,306232794,0,False,True,True,True,243,6478501.25,17729.25,1179855.833,93.919,52.16688467,2063,57587.41667,4018829.833,12.78044626
65,CkhUy2bL0_9,GraphImage,beyonce,5641045,76182,No Object,No Object,No Object,No Object,No Object,No Object,247944034,Musician,306232794,0,False,True,True,True,243,6478501.25,17729.25,1179855.833,93.919,52.16688467,2063,57587.41667,4018829.833,12.78044626
66,CrT4WdNPG5l,GraphSidecar,khloekardashian,697466,2084,2 people,hair,makeup,No Object,No Object,No Object,208560325,Public figure,304562743,100,False,False,True,True,276,6565852.417,6847.166667,686235.0833,43.95533333,37.98035689,4232,6297.916667,1360984.25,1.075823908
67,CrPX33opk5X,GraphSidecar,khloekardashian,1236428,4526,3 people,makeup,No Object,No Object,No Object,No Object,208560325,Public figure,304562743,100,False,False,True,True,276,6565852.417,6847.166667,686235.0833,43.95533333,37.98035689,4232,6297.916667,1360984.25,1.075823908
68,CrPApY_PuYn,GraphSidecar,khloekardashian,484825,2772,1 person,makeup,No Object,No Object,No Object,No Object,208560325,Public figure,304562743,100,False,False,True,True,276,6565852.417,6847.166667,686235.0833,43.95533333,37.98035689,4232,6297.916667,1360984.25,1.075823908
69,CrOTyWzrUOf,GraphImage,khloekardashian,224121,1304,3 people,makeup,text,No Object,No Object,No Object,208560325,Public figure,304562743,100,False,False,True,True,276,6565852.417,6847.166667,686235.0833,43.95533333,37.98035689,4232,6297.916667,1360984.25,1.075823908
70,CrMACzPPc_W,GraphSidecar,khloekardashian,1908741,5374,2 people,people smiling,No Object,No Object,No Object,No Object,208560325,Public figure,304562743,100,False,False,True,True,276,6565852.417,6847.166667,686235.0833,43.95533333,37.98035689,4232,6297.916667,1360984.25,1.075823908
71,CrJKbv-L130,GraphSidecar,khloekardashian,685563,3566,1 person,makeup,leather,turtleneck,No Object,No Object,208560325,Public figure,304562743,100,False,False,True,True,276,6565852.417,6847.166667,686235.0833,43.95533333,37.98035689,4232,6297.916667,1360984.25,1.075823908
72,CrEnBpRvJs5,GraphImage,khloekardashian,964395,5431,1 person,golf cart,dune buggy,No Object,No Object,No Object,208560325,Public figure,304562743,100,False,False,True,True,276,6565852.417,6847.166667,686235.0833,43.95533333,37.98035689,4232,6297.916667,1360984.25,1.075823908
73,CrBq4ClPbe_,GraphSidecar,khloekardashian,2011266,6693,2 people,child,balloon,No Object,No Object,No Object,208560325,Public figure,304562743,100,False,False,True,True,276,6565852.417,6847.166667,686235.0833,43.95533333,37.98035689,4232,6297.916667,1360984.25,1.075823908
74,Cq_cw0cvFBb,GraphSidecar,khloekardashian,2964034,21615,1 person,baby,doll,Easter egg,text,No Object,208560325,Public figure,304562743,100,False,False,True,True,276,6565852.417,6847.166667,686235.0833,43.95533333,37.98035689,4232,6297.916667,1360984.25,1.075823908
75,Cq8d8V5Jvuz,GraphSidecar,khloekardashian,1994015,11947,2 people,makeup,No Object,No Object,No Object,No Object,208560325,Public figure,304562743,100,False,False,True,True,276,6565852.417,6847.166667,686235.0833,43.95533333,37.98035689,4232,6297.916667,1360984.25,1.075823908
76,Cq3HoSnLIn8,GraphSidecar,khloekardashian,1530970,5104,3 people,baby,Easter egg,No Object,No Object,No Object,208560325,Public figure,304562743,100,False,False,True,True,276,6565852.417,6847.166667,686235.0833,43.95533333,37.98035689,4232,6297.916667,1360984.25,1.075823908
77,Cq1aJ_lvICv,GraphSidecar,khloekardashian,1629987,5159,1 person,baby,smiling,headb,and bow,No Object,208560325,Public figure,304562743,100,False,False,True,True,276,6565852.417,6847.166667,686235.0833,43.95533333,37.98035689,4232,6297.916667,1360984.25,1.075823908
78,CrKdym9uQt8,GraphImage,justinbieber,1218746,22,crowd,concert,No Object,No Object,No Object,No Object,6860189,Musician,287142296,737,True,False,True,True,1308,7564334.5,38079.25,1111739.917,185.6108333,1.354458168,7409,33985.83333,3334511.25,6.299850612
79,CqbVNeevhNc,GraphSidecar,justinbieber,807495,12150,7 people,people playing hockey,hockey stick,shovel,ski,No Object,6860189,Musician,287142296,737,True,False,True,True,1308,7564334.5,38079.25,1111739.917,185.6108333,1.354458168,7409,33985.83333,3334511.25,6.299850612
80,CqbUmxqv7V7,GraphSidecar,justinbieber,2704318,13452,3 people,people playing hockey,text,No Object,No Object,No Object,6860189,Musician,287142296,737,True,False,True,True,1308,7564334.5,38079.25,1111739.917,185.6108333,1.354458168,7409,33985.83333,3334511.25,6.299850612
81,CpxuE59J9Po,GraphImage,justinbieber,3099974,55967,2 people,people kissing,No Object,No Object,No Object,No Object,6860189,Musician,287142296,737,True,False,True,True,1308,7564334.5,38079.25,1111739.917,185.6108333,1.354458168,7409,33985.83333,3334511.25,6.299850612
82,Cpvaj1vPzQK,GraphImage,justinbieber,811279,5103,1 person,toecap shoes,boots,parka,No Object,No Object,6860189,Musician,287142296,737,True,False,True,True,1308,7564334.5,38079.25,1111739.917,185.6108333,1.354458168,7409,33985.83333,3334511.25,6.299850612
83,CpvOwoYrzl5,GraphImage,justinbieber,3687186,44389,2 people,makeup,people kissing,headscarf,bolo tie,dress,6860189,Musician,287142296,737,True,False,True,True,1308,7564334.5,38079.25,1111739.917,185.6108333,1.354458168,7409,33985.83333,3334511.25,6.299850612
84,CpsfJ0qOdSL,GraphSidecar,justinbieber,8453801,104244,1 person,boat,underwear,No Object,No Object,No Object,6860189,Musician,287142296,737,True,False,True,True,1308,7564334.5,38079.25,1111739.917,185.6108333,1.354458168,7409,33985.83333,3334511.25,6.299850612
85,CpYkqEVvLZv,GraphSidecar,justinbieber,2004765,23347,2 people,people standing,sweatsuit ,park,No Object,No Object,6860189,Musician,287142296,737,True,False,True,True,1308,7564334.5,38079.25,1111739.917,185.6108333,1.354458168,7409,33985.83333,3334511.25,6.299850612
86,CpYkewCPiJh,GraphSidecar,justinbieber,3432258,21691,4 people,people standing,balloon,park,No Object,No Object,6860189,Musician,287142296,737,True,False,True,True,1308,7564334.5,38079.25,1111739.917,185.6108333,1.354458168,7409,33985.83333,3334511.25,6.299850612
87,CpYkNlsPVpd,GraphSidecar,justinbieber,6475738,36453,2 people,people standing,balloon,beach ball,glasses,park,6860189,Musician,287142296,737,True,False,True,True,1308,7564334.5,38079.25,1111739.917,185.6108333,1.354458168,7409,33985.83333,3334511.25,6.299850612
88,Crb1PDGuc4A,GraphSidecar,nike,57607,352,1 person,goosedown coat,flight jacket,fleece,sportswear,raincoat,13460080,Unknown,289070323,150,True,True,True,True,69,3454251.333,2649.416667,154017.0,45.53858333,24.78041584,1104,1191.916667,140902.75,1.094584408
89,Crbc3ZCO0B5,GraphSidecar,nike,69766,314,5 people,people playing football,people playing soccer,No Object,No Object,No Object,13460080,Unknown,289070323,150,True,True,True,True,69,3454251.333,2649.416667,154017.0,45.53858333,24.78041584,1104,1191.916667,140902.75,1.094584408
90,CrZbeyiPmFg,GraphImage,nike,82404,422,1 person,golfing,golf club,golf course,No Object,No Object,13460080,Unknown,289070323,150,True,True,True,True,69,3454251.333,2649.416667,154017.0,45.53858333,24.78041584,1104,1191.916667,140902.75,1.094584408
91,CrUHQ_GvVkG,GraphSidecar,nike,130427,1093,1 person,braids,long hair,activewear,shorts,sportswear,13460080,Unknown,289070323,150,True,True,True,True,69,3454251.333,2649.416667,154017.0,45.53858333,24.78041584,1104,1191.916667,140902.75,1.094584408
92,CrQ7UcCOAN_,GraphSidecar,nike,93832,1168,basketball,poster,magazine,text,No Object,No Object,13460080,Unknown,289070323,150,True,True,True,True,69,3454251.333,2649.416667,154017.0,45.53858333,24.78041584,1104,1191.916667,140902.75,1.094584408
93,CrOazoau8GD,GraphSidecar,nike,261502,1598,1 person,makeup,hair,fur coat,fishnet stockings,No Object,13460080,Unknown,289070323,150,True,True,True,True,69,3454251.333,2649.416667,154017.0,45.53858333,24.78041584,1104,1191.916667,140902.75,1.094584408
94,Cq5uYDYPOcC,GraphSidecar,kendalljenner,1660947,7283,8 people,magazine,poster,No Object,No Object,No Object,6380930,Fashion Model,285621356,229,False,False,True,True,65,11630842.17,12088.91667,1921141.5,129.2748333,73.56030952,662,12759.66667,3936328.083,2.530270502
95,Cq1FMaZvl0J,GraphSidecar,kendalljenner,5231332,11038,1 person,eyewear,sundress,No Object,No Object,No Object,6380930,Fashion Model,285621356,229,False,False,True,True,65,11630842.17,12088.91667,1921141.5,129.2748333,73.56030952,662,12759.66667,3936328.083,2.530270502
96,CqYQV7zpKR1,GraphSidecar,kendalljenner,5175639,18964,1 person,turtleneck,dress,No Object,No Object,No Object,6380930,Fashion Model,285621356,229,False,False,True,True,65,11630842.17,12088.91667,1921141.5,129.2748333,73.56030952,662,12759.66667,3936328.083,2.530270502
97,CqTrwoMvvjl,GraphSidecar,kendalljenner,4295226,11450,1 person,makeup,No Object,No Object,No Object,No Object,6380930,Fashion Model,285621356,229,False,False,True,True,65,11630842.17,12088.91667,1921141.5,129.2748333,73.56030952,662,12759.66667,3936328.083,2.530270502
98,CqTbqILviaB,GraphSidecar,kendalljenner,7427521,26026,1 person,sleepwear,slip,mattress,chemise,bed,6380930,Fashion Model,285621356,229,False,False,True,True,65,11630842.17,12088.91667,1921141.5,129.2748333,73.56030952,662,12759.66667,3936328.083,2.530270502
99,CqIp9YNDyN8,GraphSidecar,kendalljenner,4386415,14556,1 person,dress,No Object,No Object,No Object,No Object,6380930,Fashion Model,285621356,229,False,False,True,True,65,11630842.17,12088.91667,1921141.5,129.2748333,73.56030952,662,12759.66667,3936328.083,2.530270502
100,CqDizDBj5P2,GraphImage,kendalljenner,1898163,6973,1 person,makeup,jewelry,bangle,No Object,No Object,6380930,Fashion Model,285621356,229,False,False,True,True,65,11630842.17,12088.91667,1921141.5,129.2748333,73.56030952,662,12759.66667,3936328.083,2.530270502
101,CqA3pT9Mn4l,GraphImage,kendalljenner,847288,3041,1 person,makeup,magazine,poster,text,No Object,6380930,Fashion Model,285621356,229,False,False,True,True,65,11630842.17,12088.91667,1921141.5,129.2748333,73.56030952,662,12759.66667,3936328.083,2.530270502
