,shortcode,post_type,username,like,comment,object_1,object_2,object_3,object_4,object_5,object_6,object,id,category_name,follower,following,ar_effect,type_business,type_professional,verified,reel_count,reel_avg_view,reel_avg_comment,reel_avg_like,reel_avg_duration,reel_frequency,media_count,media_avg_comment,media_avg_like,media_frequency
78,CrKdym9uQt8,GraphImage,justinbieber,1218746,22,crowd,concert,No Object,No Object,No Object,No Object,monitor,6860189,Musician,287142296,737,True,False,True,True,1308,7564334.5,38079.25,1111739.917,185.6108333,1.354458168,7409,33985.83333,3334511.25,6.299850612
79,CqbVNeevhNc,GraphSidecar,justinbieber,807495,12150,7 people,people playing hockey,hockey stick,shovel,ski,No Object,ski,6860189,Musician,287142296,737,True,False,True,True,1308,7564334.5,38079.25,1111739.917,185.6108333,1.354458168,7409,33985.83333,3334511.25,6.299850612
80,CqbUmxqv7V7,GraphSidecar,justinbieber,2704318,13452,3 people,people playing hockey,text,No Object,No Object,No Object,"pajama, pyjama, pj's, jammies",6860189,Musician,287142296,737,True,False,True,True,1308,7564334.5,38079.25,1111739.917,185.6108333,1.354458168,7409,33985.83333,3334511.25,6.299850612
81,CpxuE59J9Po,GraphImage,justinbieber,3099974,55967,2 people,people kissing,No Object,No Object,No Object,No Object,"academic_gown, academic_robe, judge's_robe",6860189,Musician,287142296,737,True,False,True,True,1308,7564334.5,38079.25,1111739.917,185.6108333,1.354458168,7409,33985.83333,3334511.25,6.299850612
82,Cpvaj1vPzQK,GraphImage,justinbieber,811279,5103,1 person,toecap shoes,boots,parka,No Object,No Object,"teddy, teddy_bear",6860189,Musician,287142296,737,True,False,True,True,1308,7564334.5,38079.25,1111739.917,185.6108333,1.354458168,7409,33985.83333,3334511.25,6.299850612
83,CpvOwoYrzl5,GraphImage,justinbieber,3687186,44389,2 people,makeup,people kissing,headscarf,bolo tie,dress,"academic_gown, academic_robe, judge's_robe",6860189,Musician,287142296,737,True,False,True,True,1308,7564334.5,38079.25,1111739.917,185.6108333,1.354458168,7409,33985.83333,3334511.25,6.299850612
84,CpsfJ0qOdSL,GraphSidecar,justinbieber,8453801,104244,1 person,boat,underwear,No Object,No Object,No Object,"bikini, two-piece",6860189,Musician,287142296,737,True,False,True,True,1308,7564334.5,38079.25,1111739.917,185.6108333,1.354458168,7409,33985.83333,3334511.25,6.299850612
85,CpYkqEVvLZv,GraphSidecar,justinbieber,2004765,23347,2 people,people standing,sweatsuit ,park,No Object,No Object,ski_mask,6860189,Musician,287142296,737,True,False,True,True,1308,7564334.5,38079.25,1111739.917,185.6108333,1.354458168,7409,33985.83333,3334511.25,6.299850612
86,CpYkewCPiJh,GraphSidecar,justinbieber,3432258,21691,4 people,people standing,balloon,park,No Object,No Object,"gasmask, respirator, gas_helmet",6860189,Musician,287142296,737,True,False,True,True,1308,7564334.5,38079.25,1111739.917,185.6108333,1.354458168,7409,33985.83333,3334511.25,6.299850612
87,CpYkNlsPVpd,GraphSidecar,justinbieber,6475738,36453,2 people,people standing,balloon,beach ball,glasses,park,sweatshirt,6860189,Musician,287142296,737,True,False,True,True,1308,7564334.5,38079.25,1111739.917,185.6108333,1.354458168,7409,33985.83333,3334511.25,6.299850612
88,Crb1PDGuc4A,GraphSidecar,nike,57607,352,1 person,goosedown coat,flight jacket,fleece,sportswear,raincoat,sweatshirt,13460080,Unknown,289070323,150,True,True,True,True,69,3454251.333,2649.416667,154017.0,45.53858333,24.78041584,1104,1191.916667,140902.75,1.094584408
89,Crbc3ZCO0B5,GraphSidecar,nike,69766,314,5 people,people playing football,people playing soccer,No Object,No Object,No Object,comic_book,13460080,Unknown,289070323,150,True,True,True,True,69,3454251.333,2649.416667,154017.0,45.53858333,24.78041584,1104,1191.916667,140902.75,1.094584408
90,CrZbeyiPmFg,GraphImage,nike,82404,422,1 person,golfing,golf club,golf course,No Object,No Object,bow,13460080,Unknown,289070323,150,True,True,True,True,69,3454251.333,2649.416667,154017.0,45.53858333,24.78041584,1104,1191.916667,140902.75,1.094584408
91,CrUHQ_GvVkG,GraphSidecar,nike,130427,1093,1 person,braids,long hair,activewear,shorts,sportswear,"brassiere, bra, bandeau",13460080,Unknown,289070323,150,True,True,True,True,69,3454251.333,2649.416667,154017.0,45.53858333,24.78041584,1104,1191.916667,140902.75,1.094584408
92,CrQ7UcCOAN_,GraphSidecar,nike,93832,1168,basketball,poster,magazine,text,No Object,No Object,comic_book,13460080,Unknown,289070323,150,True,True,True,True,69,3454251.333,2649.416667,154017.0,45.53858333,24.78041584,1104,1191.916667,140902.75,1.094584408
93,CrOazoau8GD,GraphSidecar,nike,261502,1598,1 person,makeup,hair,fur coat,fishnet stockings,No Object,"brassiere, bra, bandeau",13460080,Unknown,289070323,150,True,True,True,True,69,3454251.333,2649.416667,154017.0,45.53858333,24.78041584,1104,1191.916667,140902.75,1.094584408
